id,title,date_release,date_research,price,discount_price,developer,publisher,description,total_reviews,review_rating,url
2455360,Cooking Simulator 2: Better Together,2026-03-31,2026-04-01,109.99,93.49,['Big Cheese Studio'],['Big Cheese Studio'],"Cooking Simulator está de volta — maior, melhor e com um modo multijogador ! Crie suas próprias receitas e tire proveito de controles novos e aprimorados para tornar-se o melhor chefe culinário da cidade. Ou apenas divirta-se cozinhando no seu próprio ritmo. Aqui você é quem manda!",123,6,https://store.steampowered.com/app/2455360
2529790,GRIME II,2026-03-31,2026-04-01,75.99,64.59,['Clover Bite'],['Kwalee'],"Assuma o poder de roubar formas em GRIME II, um metroidvania de ação e aventura surreal. Lance tentáculos feitos de mãos para absorver inimigos e invocar moldes, enquanto explora um mundo bizarro e vibrante, obcecado por arte.",60,9,https://store.steampowered.com/app/2529790
3288210,Super Meat Boy 3D,2026-03-31,2026-04-01,73.99,66.59,"['Sluggerfly', 'Team Meat']","['Headup', 'GCORES PUBLISHING']",O famoso e árduo jogo de plataformas... agora em 3D!,129,9,https://store.steampowered.com/app/3288210
774291,Last Man Sitting,2026-03-31,2026-04-01,32.99,29.69,['DoubleMoose Games'],['Raw Fury'],"Atire, corte e esmague várias ondas de aparelhos de escritórios sencientes (ou seus colegas da vida real) neste roguelite de atirador de arena inspirado nos anos 2000 e cheio de ação. É bala pra todo canto, e tudo isso enquanto você gira 360° numa cadeira de escritório.",32,8,https://store.steampowered.com/app/774291
4170200,Data Center,2026-03-31,2026-04-01,33.99,30.59,['Waseku'],['Waseku'],"Construa, cabeleie, automatize. Monte racks, servidores e switches, conecte capacidade aos apps, lucre com dados e desbloqueie equipamentos e clientes com XP. Siga pacotes de dados coloridos enquanto seu centro ganha vida.",83,9,https://store.steampowered.com/app/4170200
3784030,RACCOIN: Coin Pusher Roguelike,2026-03-31,2026-04-01,38.49,31.56,['Doraccoon'],['Playstack'],"Uma máquina de dopamina empurradora de moedas. RACCOIN é um jogo de montagem de baralhos estilo roguelike no qual você combina moedas especiais com itens poderosos para ativar combos mais que satisfatórios. Empilhe torres brilhantes, gire a roda da sorte e agite a máquina até caírem todas as moedas.",376,9,https://store.steampowered.com/app/3784030
2300840,Subliminal,2026-03-31,2026-04-01,32.99,29.69,"['Accidental Studios', 'Gone Shootin']","['Gone Shootin', 'Infini Fun']","Subliminal é um jogo de terror psicológico inspirado na lenda urbana de The Backrooms. Iluminação de última geração, níveis abertos projetados à mão, puzzles de luz e perspectiva, espaços nostálgicos, rostos desconhecidos e a sensação de que algo não se encaixa.",342,7,https://store.steampowered.com/app/2300840
1836560,Aether & Iron,2026-03-30,2026-04-01,73.99,59.19,"['Seismic Squirrel', 'Chaos Theory Games']",['Seismic Squirrel'],"Mergulhe neste RPG narrativo ambientado em uma versão alternativa dos anos 1930, onde a tecnologia antigravitacional fez carros, estradas e até Nova York flutuarem. Monte uma equipe, domine o combate tático em turnos e desvende os segredos sombrios sob a metrópole flutuante.",45,8,https://store.steampowered.com/app/1836560
3326230,Hozy,2026-03-30,2026-04-01,39.99,35.99,['Come On Studio'],['tinyBuild'],"Transformando um cômodo por vez, a negligência na região não terá vez! Limpe, pinte e decore casas abandonadas em Hozy e descubra seu novo passatempo recheado de mecânicas relaxantes e intuitivas. Aproveite cada detalhe enquanto explora as ferramentas, itens e mobílias para repaginar tudo!",426,9,https://store.steampowered.com/app/3326230
4286550,Keep on Mining! - Worlds,2026-03-30,2026-04-01,22.99,18.39,['EagleEye Games'],['EagleEye Games'],"Keep on Mining! – Worlds é um jogo incremental de mineração onde você minera rochas, coleta recursos e viaja por diversos mundos únicos, encontrando artefatos, criando picaretas e comprando várias melhorias permanentes!",201,9,https://store.steampowered.com/app/4286550
